	Unnamed: 0	id_str	created_at	user_name	user_location	user_verified	retweet_count	favorite_count	lang	text	sentiment
1403	1403	1241576643438796802	2020-03-22 04:05:13	Notiziedi		False	0	0	it	avezzano emergenza covid nella marsica indiretto botta risposta calor bianco fra presidente della reg…	2
2043	2043	1241577054581080064	2020-03-22 04:06:51	._.	North	False	0	0	it	prendiamoci cura delle parole perché sono vive esce oggi volume sull’italia…	2
2512	2512	1241577368788975616	2020-03-22 04:08:06	Www.hackerville.ro	Romania	False	0	0	it	non possiamo permettere alle aziende farmaceutiche perseguire unicamente propri profitti pandemia covid non…	2
2668	2668	1241577465257922563	2020-03-22 04:08:29	Fadhil Ramadhan	Indonesia	False	0	0	it	intervista epidemiologo francese vaccino moderna stessi dubbi…	2
2681	2681	1241577477215944704	2020-03-22 04:08:32	CM Magazine		False	4	0	it	beh previsione che sento condividere anche perché finalmente videoconferenze saranno inclusive non…	2
3011	3011	1241577670380605441	2020-03-22 04:09:18	FansCalcio.it	noi tifosi di calcio	False	0	1	it	petullà centinaia morti covid hanno malattie sovrapposte gravi come polmonari …	0
3060	3060	1241577699744808961	2020-03-22 04:09:25	Rhuan	Santa Catarina, Brasil	False	1	1	it	covid come funzionano test antigenici “fai ” sperimentati veneto via	2
3246	3246	1241577817608982529	2020-03-22 04:09:53	mailsec.it		False	0	0	it	stretto coordinamento non facciamo niente nuova ondata covid non abbiamo capito niente test…	2
3374	3374	1241577897510547456	2020-03-22 04:10:12	Business Community		False	0	0	it	più che altro fatto che dica che ora invece criteri classificazione siano stati corretti …	2
3454	3454	1241577959191908352	2020-03-22 04:10:27	Corriere Quotidiano		False	0	0	it	deceduti covid sars cov virus del pcch cile argentina mexico novenbre 2020	2
3991	3991	1241578283076128769	2020-03-22 04:11:44	FedeTrovato02	Toscana, Italia	False	0	1	it	sintesi richiesta del nostro appello questa grafica scarica condividi immagini ogni giorno singolarmente …	2
4062	4062	1241578337467850752	2020-03-22 04:11:57	informazione interno	Italia	False	0	0	it	chiunque arrivasse ospedale con una tampone positivo veniva classificato come morto per covid dati dell	1
4071	4071	1241578341980831745	2020-03-22 04:11:58	pretosuav	019	False	0	0	it	tutto parla confusamente meno delle carceri che sono diventate focolaio covid alla facc…	0
4105	4105	1241578366798626817	2020-03-22 04:12:04	Rio2016		False	0	0	it	numeri ufficiali covid del novembre 2020 arrestato presidente consiglio regionale della calabria bertolaso…	2
4237	4237	1241578449199697922	2020-03-22 04:12:24	Sandip Deshmukh 🕘	Pune, India🇮🇳	False	1	1	it	cronache problemi convivenza con covid	0
4261	4261	1241578463364071424	2020-03-22 04:12:27	Alessandro Quarti		False	0	0	it	quando chiederanno “bisnonno come hai passato seconda ondata covid ” risponderò “miei cari bisnipoti bionici…	2
4419	4419	1241578580368220160	2020-03-22 04:12:55	ichiiinnggg	🇵🇭🇨🇳	False	0	0	it	covid risposta immunitaria potrebbe durare anche per anni via	2
4841	4841	1241578882655899649	2020-03-22 04:14:07	SBS Italian	Australia	True	1	1	it	con storia del pensiero impuro cenone natale periodo covid avete ’ rotto solo chi non …	0
4909	4909	1241578920509681674	2020-03-22 04:14:16	Pasquale Capozzi		False	0	0	it	burioni scrive twitter “alcuni dicono che sono affollati persone preda panico può essere vero …	2
5053	5053	1241579000658636801	2020-03-22 04:14:35	Renzo Cianchetti	Perugia	False	0	0	it	sospesa esecuzione lisa montgomery unica donna nel braccio della morte federale suoi avvoc…	0
5232	5232	1241579113086935040	2020-03-22 04:15:02	littlewonder ♀ (seduta lungo la riva del fiume)		False	0	0	it	non mancheranno frecciatine parte del covid che oltre colpire fisicamente imparerà colpire anche emotiv…	0
5827	5827	1241579503262015489	2020-03-22 04:16:35	SAN7A ❁	Ringuelet - La Plata	False	0	1	it	impersonificato magistrale pino insegno covid raggiunto ’evoluzione tale nei precedenti anni …	2
6001	6001	1241579604646809600	2020-03-22 04:16:59	informazione estero	Italia	False	0	0	it	nel 2038 con regina imperatrice del nuovo commonwealth dell’intelligenza artificiale elisabetta oramai …	2
6005	6005	1241579608908140546	2020-03-22 04:17:00	informazione interno	Italia	False	0	0	it	covid sgarbi presenta ricorso alla corte costituzionale via	2
6006	6006	1241579609466028033	2020-03-22 04:17:00	informazione interno	Italia	False	0	0	it	gente che muore muore per cure sbagliate	0
6009	6009	1241579612280442881	2020-03-22 04:17:01	Zazoom Social News	Italia	False	0	0	it	crisi economica connessa all’emergenza sanitaria devastante eppure governo pensato bene stanziar…	2
6015	6015	1241579612821487616	2020-03-22 04:17:01	informazione interno	Italia	False	0	0	it	conte natale sobrio niente baci merkel «sul recovery resta veto ungheria polonia»	1
6018	6018	1241579616462082049	2020-03-22 04:17:02	informazione interno	Italia	False	0	0	it	nostra proposta	2
6443	6443	1241579888940855304	2020-03-22 04:18:07	La Smorfia Digitale		False	0	0	it	concluso nostro per dei 223 votanti maggior colpa nell emergenza colpa …	2
6534	6534	1241579948059615232	2020-03-22 04:18:21	news gang		False	0	0	it	covid piemonte 349 contagi decessi aumentano ricoveri terapia intensiva alessandria provincia …	2
6716	6716	1241580078653415425	2020-03-22 04:18:52	Melvin Gutierrez Al Sah-him	Черноголовка, Россия	False	0	0	it	cgil brescia	2
6821	6821	1241580141190557697	2020-03-22 04:19:07	GIUSEPPE GULL👀	CITTADINO DEL MONDO🇮🇹🇪🇺	False	0	1	it	deciso che interromperò miei rapporti qualsiasi tipo con chi nega virus qualsiasi tipo sono rotto …	0
6826	6826	1241580144768225280	2020-03-22 04:19:08	Claudio Fiera		False	1	1	it	potuto toccare con mano umanità competenza cura poste ogni giorno essere con instancabile sollecitud…	2
7047	7047	1241580287961653248	2020-03-22 04:19:42	nicole	the bay	False	0	2	it	nonni tempi del covid	2
7110	7110	1241580338423324673	2020-03-22 04:19:54	Andrea Morett	Guadalajara, Jalisco	False	0	0	it	tre motivi per cui covid può causare ipossia silenziosa	2
7147	7147	1241580363702468610	2020-03-22 04:20:00	ishant nayyar	Milan, Lombardy	False	0	0	it	aiutiamo mia amata terra roberto speranza riapriamo ospedale soriano calabro …	2
7981	7981	1241580884240842753	2020-03-22 04:22:04	informazione interno	Italia	False	0	0	it	delle mezze verità dai ricoveri alle terapie intensive dal rapporto positivi tamponi all dal vaccino…	2
7986	7986	1241580887369809920	2020-03-22 04:22:05	informazione interno	Italia	False	0	0	it	non aveva detto che covid era realtà	2
7990	7990	1241580887898275840	2020-03-22 04:22:05	informazione interno	Italia	False	0	0	it	nelle ultime ore sono state registrate globalmente 989 morti covid tratta secondo organizzazione mondiale …	0
8002	8002	1241580896437907459	2020-03-22 04:22:07	Zazoom Info	Italia	False	0	0	it	diacovid tampone fatale	2
8434	8434	1241581169168257024	2020-03-22 04:23:12	Ramah Kizito	Kampala, Uganda	False	3	5	it	conclusione dello studio ’infezione coronavirus molto più diffusa quanto dicano dati ufficiali …	2
9718	9718	1241582032750329858	2020-03-22 04:26:38	Claudio Sala		False	0	0	it	tranquillo stato problema inizio pandemia poca diffusione del covid causa della povertà…	2
9904	9904	1241582154775216129	2020-03-22 04:27:07	informazione finanza	Italia	False	0	0	it	scompare roma all’età anni filippo maria gambari direttore del museo delle civiltà roma archeologo gra…	2
10443	10443	1241582535836160002	2020-03-22 04:28:38	R.D.	Lille France	False	0	0	it	numero reale casi covid italia volte maggiore del dato ufficiale affermarlo gruppo …	2
10731	10731	1241582733085810690	2020-03-22 04:29:25	Laura LifeBlogger.it	Florence, Italy	False	0	0	it	…	2
11274	11274	1241583060090523649	2020-03-22 04:30:43	mailsec.it		False	0	0	it	non può brevettare alla vigilia dei colloqui sulla proposta india sudafrica sospendere monopoli…	2
11807	11807	1241583408049991681	2020-03-22 04:32:06	SanaCostituzione TerreLibere 🇹🇿🇹🇲🇸🇪🇳🇴🇧🇾	Italia	False	0	9	it	succede anche questo purtroppo hanno fatto funerale davanti alla finestra dove sono…	2
11917	11917	1241583475389542400	2020-03-22 04:32:22	Trapani 24h	Italia	False	0	0	it	“rientrerete nelle vostre camere entro tutte sere” rowling con harry potter camera dei segreti aveva già…	2
12195	12195	1241583656239538181	2020-03-22 04:33:05	infoatac +😷=	Roma - via Prenestina, 45	True	1	1	it	perché non parla mai delle cure pensate vaccinarci per covid	2
12362	12362	1241583760472244226	2020-03-22 04:33:30	🚩🇮🇳🇺🇸💯 %FB https://www.facebook.com/SKotak99	🙏मातृभूमि/ भारत🙏 USA.	False	0	0	it	“rientrerete nelle vostre camere entro tutte sere” rowling con harry potter camera dei segreti …	2
12723	12723	1241584012059193345	2020-03-22 04:34:30	attilio miani		False	0	0	it	coprifuoco hogwarts like coprifuoco covid conte	2
13017	13017	1241584230951522304	2020-03-22 04:35:22	Notiziedi		False	0	0	it	per covid dovrà essere tutti salute non proprietà privata bene …	0
13308	13308	1241584436258508806	2020-03-22 04:36:11	Notiziedi		False	0	0	it	appena annunciata fine dello studio fase della pfizer con risultati entusiasmanti vaccino mantiene …	2
13612	13612	1241584642320408576	2020-03-22 04:37:00	Zazoom Social News	Italia	False	0	0	it	figurati commissario della agenas incaricato…	2
13632	13632	1241584649945710597	2020-03-22 04:37:02	Zazoom Info	Italia	False	0	0	it	quindi sta dicendo che 100 dei decessi italia marzo 2020 avviene per covid …	2
13704	13704	1241584696234033152	2020-03-22 04:37:13	informazione salute	Italia	False	0	0	it	report novembre rallenta velocità crescita contagi tutte curve sono salita allentare…	2
13837	13837	1241584784918405120	2020-03-22 04:37:34	LIRATV	Salerno	False	0	0	it	covid dovrebbero essere usati per curare gli elettori della …	2
14603	14603	1241585333134921728	2020-03-22 04:39:45	Gigi Simone Laffitte	Milano	False	0	0	it	uno studio danese solleva interrogativi sull efficacia dell uso delle mascherine contro covid	2
14627	14627	1241585350373281792	2020-03-22 04:39:49	PenNews		False	0	0	it	iene giulio golia continua viaggio nelle periferie roma piegate dal covid video mediaset…	2
14731	14731	1241585426621706240	2020-03-22 04:40:07	Notiziedi		False	0	0	it	macchine agricole sul mercato ripresa incombe ’incognita covid	2
14964	14964	1241585615038296065	2020-03-22 04:40:52	jGiusi ❤️	Roma	False	0	0	it	immunologa viola come una furia contro «falsità sul plasma iperimmune»	2
15215	15215	1241585777986895872	2020-03-22 04:41:31	ana	Valongo, Portugal	False	0	0	it	questo tweet tutte persone che sottovalutano situazione che stiamo vivendo alla presunzione dire che cov…	2
15227	15227	1241585786610274304	2020-03-22 04:41:33	AbiKat	Fremantle, Western Australia	False	0	0	it	chi soffre malattie cardiovascolari più rischio sviluppare complicanze covid …	0
15416	15416	1241585908526301184	2020-03-22 04:42:02	Zazoom Social News	Italia	False	0	0	it	ricevo continue richieste sull uso dell azitromicina nelle persone con devo ribadire che non alcuna…	2
15457	15457	1241585933209800705	2020-03-22 04:42:08	Zazoom Info	Italia	False	0	0	it	borghi dono parlare non dire nulla bravura che non cosa dire	2
15464	15464	1241585937609560064	2020-03-22 04:42:09	Notiziedi		False	0	0	it	autorizzazione all immissione commercio nell’ può essere concessa ove sia dimostrato che benefici del …	2
15498	15498	1241585963010338818	2020-03-22 04:42:15	informazione salute	Italia	False	0	0	it	mutato dai visoni già infettato persone danimarca olanda sudafrica svizzera isole …	2
15620	15620	1241586054869762049	2020-03-22 04:42:37	Notiziedi		False	0	0	it	medici famiglia pediatri stiamo assistendo collasso del territorio	2
15844	15844	1241586197819985920	2020-03-22 04:43:11	MaddaLena	Om	False	0	1	it	intanto mentre tutti programmi continuano parlare covid pandemia continua…	2
16610	16610	1241586746648903680	2020-03-22 04:45:22	Notiziedi		False	0	0	it	cristina maccaferri direttrice del dipartimento cure primarie microfono usca …	2
16707	16707	1241586801300525057	2020-03-22 04:45:35	Scrap	Watts 	False	0	1	it	cristina maccaferri direttrice del dipartimento cure primarie microfono sono …	2
17020	17020	1241586999393320962	2020-03-22 04:46:22	MSN Italia	Italy	True	0	0	it	scarpe fenomeno consumistico anni fuga dal con del possesso bene materiale …	2
17212	17212	1241587136761139200	2020-03-22 04:46:55	Abril💫	Buenos Aires, Argentina	False	0	0	it	grazie per sostenere appello per gli animali difficoltà nell insie…	2
17341	17341	1241587224933806080	2020-03-22 04:47:16	Claudio Sala		False	0	0	it	nelle ultime ore sono state registrate globalmente 989 morti covid tratta secondo organizzazione…	0
17369	17369	1241587242369499136	2020-03-22 04:47:20	informazione salute	Italia	False	0	0	it	nuovo congelatore per vaccino covid circolo arci bugliano regalato congelatore per contenere vaccino del…	2
17534	17534	1241587355695316992	2020-03-22 04:47:47	LauraD ⭐️⭐️⭐️💑✝️LegaSalviniPremier		False	0	0	it	per conferenza stampa chiudo cartelle deceduti covid tutte vengono revisionate iss per stabilir…	2
17858	17858	1241587603406807040	2020-03-22 04:48:46	Carola		False	0	1	it	ricordo facevamo cagare anche prima del	2
17881	17881	1241587620196388866	2020-03-22 04:48:50	🌱; hiatus		False	0	0	it	australian open 2021 rischio posticipo cancellazione per covid reazioni dei giocatori	0
18269	18269	1241587896248946688	2020-03-22 04:49:56	Don Galaz	Buenos Aires	False	0	0	it	chi casa con negozio chiuso cassa integrazione non prenderemo per colpa…	0
18564	18564	1241588085143613441	2020-03-22 04:50:41	Trotskito de IS 💚✊	cordoba,argentina	False	0	0	it	ritorno del piccolo tommaso mia vignetta per fatto quotidiano oggi edicola …	2
18726	18726	1241588198649839616	2020-03-22 04:51:08	Martin		False	0	1	it	guardo particolare servizio sui nostri ospedali non faccio altro che …	2
19080	19080	1241588424886358017	2020-03-22 04:52:02	Zazoom Info	Italia	False	0	0	it	“può” col condizionale tutto possibile questa maniera cari signori anche mor…	2
19208	19208	1241588513671389188	2020-03-22 04:52:23	informazione finanza	Italia	False	0	0	it	effetto covid sul ftse mib industria servizi mediobanca primi mesi bruciati borsa € mld tra …	2
19216	19216	1241588521355403265	2020-03-22 04:52:25	informazione salute	Italia	False	0	0	it	ricordatevi solo una cosa che per arrivare tutto questo alla fiera del più efficace più remunerativo per…	2
19322	19322	1241588596697714688	2020-03-22 04:52:43	Rossella Caprettini Bienes Raices		False	0	0	it	novembre 2020 fondo del governo per giornali che condizione diffusione spot confezio…	2
19375	19375	1241588639185993728	2020-03-22 04:52:53	Samuele Del Papa		False	0	0	it	spiace ricordarti che regione lombardia sistema tracciamento dei contatti dei…	2
19418	19418	1241588672689917953	2020-03-22 04:53:01	27 Television	Italia	False	0	0	it	sino ormai giorni giorni che stiamo qui scrivere dei nessuno sta parlando …	2
19441	19441	1241588689542754304	2020-03-22 04:53:05	Corriere Quotidiano		False	0	0	it	medicina territoriale italia prima dopo esperienze dei distretti sanitari trieste quelle dell…	2
19476	19476	1241588711034322945	2020-03-22 04:53:10	Mauro		False	0	1	it	covid casi tribunale catania parlano gli avvocati per consiglio dell ordine degli avvocati catan…	2
19627	19627	1241588806043815936	2020-03-22 04:53:33	Corriere Quotidiano		False	0	0	it	oggi papadia prof cricelli	2
19928	19928	1241589007802302464	2020-03-22 04:54:21	BitontoLive.it	Bitonto	False	0	0	it	save the date domani sarà ’engie green friday 2020 dove esperti scienziati opinion leader discuteranno …	2
19942	19942	1241589012797755392	2020-03-22 04:54:22	BitontoLive.it	Bitonto	False	0	0	it	fnprgsr spicgil uilpuil incontro col sindaco augusta concordata istituzione tavolo concertazione sulle politich…	2
20363	20363	1241589309523873793	2020-03-22 04:55:33	ilSaronno		False	0	0	it	nel quartiere della nata qualche giorno ’iniziativa del tampone sospeso…	2
20764	20764	1241589570074017793	2020-03-22 04:56:35	Full Bastard Inside	Chiedilo agli onesti	False	0	0	it	monitoraggio openpolis sugli importi centinaia milioni multinazionali pigliatutto nel business mascherine…	2
20843	20843	1241589620229324801	2020-03-22 04:56:47	Zulhelmi saw	Selangor, Malaysia	False	0	0	it	per restante persone decedute non direttamente per covid report diceva che malattia una causa …	2
20912	20912	1241589666257801216	2020-03-22 04:56:58	Matteo Nardi		False	0	0	it	una figlia minacciato denunciare medici dell ospedale cui aveva ricoverato …	2
21020	21020	1241589733924515841	2020-03-22 04:57:14	Notiziedi		False	0	0	it	fondo emergenza covid abbiamo stanziato milioni euro per attività economiche colpite dalla pandemia con …	2
21110	21110	1241589792544034816	2020-03-22 04:57:28	informazione estero	Italia	False	0	0	it	covid arcuri “ gennaio milioni italiani saranno vaccinati”	2
21124	21124	1241589801201152000	2020-03-22 04:57:30	informazione interno	Italia	False	0	0	it	luglio iss istat hanno pubblicato risultati delle analisi quasi 000 cartelle cliniche persone decedute …	2
21129	21129	1241589805156306944	2020-03-22 04:57:31	informazione interno	Italia	False	0	0	it	secondo candidato per covid redhill biopharma rhb 107 approvato dall’fda per studio fase iii…	2
21311	21311	1241589937872367616	2020-03-22 04:58:03	Claudia Parfotti		False	0	0	it	covid università urbino enea singapore pubblicano uno studio “frontiers pharmacology”	2
21415	21415	1241590015173558274	2020-03-22 04:58:21	Trapani 24h	Italia	False	0	0	it	storie voci chi difficoltà causa della pandemia rivolto raccol…	0
21427	21427	1241590022911987712	2020-03-22 04:58:23	Sofia Maria	Paris	False	0	0	it	134 organizzazioni 000 firmatari chiedono più trasparenza sui dati covid nostro appello	2
21513	21513	1241590090087960581	2020-03-22 04:58:39	Claudia Cusano🇪🇺	Izmir, Turkey	False	0	0	it	scelto fare non sono arruolato intervista mariano mattia infermiere dell ospedale civ…	2
21594	21594	1241590144781574144	2020-03-22 04:58:52	MLBR.61	Mexico	False	0	0	it	non sarà mica perché tutto gruppone che sbraita dell inesistenza del covid sull…	2
21941	21941	1241590370691158021	2020-03-22 04:59:46	ilTradate	Tradate	False	0	0	it	quali sono lizza per sconfiggerlo video	2
22021	22021	1241590422004252672	2020-03-22 04:59:58	GS		False	0	0	it	covid novembre solo persone terapia intensiva ricoverati con sintomi crollano 106 non siamo nel week end …	0
22164	22164	1241590483908022272	2020-03-22 05:00:13	María Aguilar	Guatemala	False	15	35	it	banchieri della dbank hanno capito come trovare soldi per aiutare chi per covid perso lavoro una bella…	2
22217	22217	1241590513339334656	2020-03-22 05:00:20	Trapani 24h	Italia	False	0	0	it	covid bagnasco “carenza bombole ossigeno grave segno disorganizzazione del governo” …	0
22374	22374	1241590623087591424	2020-03-22 05:00:46	;)	Venus	False	1	3	it	anche chi avuto infarto casa senza tampone volevano farlo passare per covid famigliari sono oppos…	2
22675	22675	1241590836921540608	2020-03-22 05:01:37	ilSaronno		False	1	0	it	“ patologo principale afferma che covid più grande bufala mai perpetrata pubblico ignaro” nessuno…	2
22687	22687	1241590844131545088	2020-03-22 05:01:39	Portale Educatori		False	0	0	it	può tenere gente agli arresti per sistemi strutturali parlamento pubblica 1ªriso…	2
22774	22774	1241590895784243200	2020-03-22 05:01:51	♈︎ mel		False	0	0	it	intanto mentre tutti programmi continuano parlare covid pandemia con…	2
22844	22844	1241590941204598784	2020-03-22 05:02:02	Zazoom Info	Italia	False	0	0	it	ogni giorno dicono sono ricoveri per muoiono sui 700 dovrebbero essere semivuote …	0
22917	22917	1241590992337342464	2020-03-22 05:02:14	Maurizio Pace Massoli 🕊	Rieti, Lazio, Italia	False	0	0	it	134 organizzazioni 000 firmatari chiedono più trasparenza sui dati covid …	2
23071	23071	1241591100982333440	2020-03-22 05:02:40	informazione interno	Italia	False	0	0	it	mia intervista maria beatrice toro psicologa psicoterapeuta quali sono principali problemi psicologici delle …	0
23081	23081	1241591105386405889	2020-03-22 05:02:41	informazione sport	Italia	False	0	0	it	covid parametri per regioni non cambiano sicilia potrebbe diventare rossa	2
23179	23179	1241591168200310784	2020-03-22 05:02:56	Tony Lena	Italy	False	0	0	it	casi italia sono aumentati nelle ultime settimane qual probabilità che almeno una persona positiva …	2
23370	23370	1241591289835130880	2020-03-22 05:03:25	BolognaPress	Bologna, Emilia Romagna	False	0	0	it	farmaci generici sono armi irrinunciabili nella lotta covid egualia servizio del ssn uno studio nomi…	0
23974	23974	1241591692488253441	2020-03-22 05:05:01	Fede_Spera		False	0	0	it	olive grove puglia …	2
24144	24144	1241591822809522176	2020-03-22 05:05:32	Studio Cataldi		False	0	0	it	ostuni puglia …	2
24539	24539	1241592090896871424	2020-03-22 05:06:36	Giuseppe Tei	Italia	False	0	0	it	covid numeri degli ospedali delle marche tra prima seconda ondata differenze spiegare	2
24863	24863	1241592321784848384	2020-03-22 05:07:31	Ella53		False	0	0	it	insieme mia moglie antonietta gatti dottori stefano scoglio fabio franchi riteniamo che proseguire nell’…	2
24936	24936	1241592379884408834	2020-03-22 05:07:45	informazione interno	Italia	False	0	0	it	sunset parco degli acquedotti rome …	2
24942	24942	1241592380433862657	2020-03-22 05:07:45	informazione interno	Italia	False	0	0	it	può danneggiare cuore anche persone giovani sane anche che abbiano presentato una sintomatologia lieve …	1
24947	24947	1241592384158384128	2020-03-22 05:07:46	informazione interno	Italia	False	0	0	it	una crescita lineare che continua comunque essere sostenuta quella dell epidemia covid italia punto …	2
24950	24950	1241592384699457536	2020-03-22 05:07:46	informazione interno	Italia	False	0	0	it	medici famiglia covid bartoletti	2
25240	25240	1241592581697310722	2020-03-22 05:08:33	Kristene & her cats are socially distancing	Quadra Island, BC, Canada	False	0	3	it	sindaco acri pino soddisfato per decisione dell asp inviare pazienti covid …	2
25761	25761	1241592933448593408	2020-03-22 05:09:57	Maria di Nazareth	Nazareth	False	0	0	it	anti dell università ben tollerato soprattutto negli …	2
26090	26090	1241593134909456384	2020-03-22 05:10:45	Il Corvo	Italia	False	0	0	it	che cos’ contatto diretto spiega questo video dottor giuliano rizzardini dirett…	2
26181	26181	1241593189586386944	2020-03-22 05:10:58	Cristian Damus		False	0	0	it	moderna anticipa pfizer sulla pubblicazione degli studi fase mila partecipanti 100 centri diversi nes…	2
26298	26298	1241593260507832320	2020-03-22 05:11:15	Claudio Sala		False	0	0	it	scompare roma all’età anni filippo maria gambari direttore del museo delle civiltà roma archeologo…	2
26431	26431	1241593344897286145	2020-03-22 05:11:35	Andres		False	0	1	it	intanto mentre tutti programmi parlano ormai del covid dei dpcm conte continua invasione…	2
26632	26632	1241593466129453056	2020-03-22 05:12:04	Zazoom Info	Italia	False	0	0	it	anche ’ospedale acri potrà ospitare pazienti affetti covid	2
26926	26926	1241593646576787456	2020-03-22 05:12:47	informazione finanza	Italia	False	0	0	it	saranno rimasti ancora botta 750 morti per covid giorno molti più nella realtà	0
26930	26930	1241593650821431298	2020-03-22 05:12:48	informazione interno	Italia	False	0	0	it	dimentica covid pensa gente mettesse mascherina quando semplicemente raffr…	2
26991	26991	1241593697608835072	2020-03-22 05:12:59	MARIO CANZONIERE	Taranto, Roma Tokyo Ladispoli 	False	0	0	it	hanno chiamata nebbia mentale potrebbe colpire paziente guarito dal covid anche per settimane mesi dopo…	2
27162	27162	1241593810162982917	2020-03-22 05:13:26	littlewonder ♀ (seduta lungo la riva del fiume)		False	3	1	it	salva neonata con malformazione covid non ferma chirurgia alta specialità	2
27199	27199	1241593831558086658	2020-03-22 05:13:31	Pier Carlo Lava	Alessandria	False	0	0	it	testo comunicato stampa pfizer	2
27406	27406	1241593973661196288	2020-03-22 05:14:05	stefano pili	Iglesias	False	0	0	it	banchieri della dbank hanno capito come trovare soldi per aiutare chi per covid perso lavoro una …	2
27501	27501	1241594041873170433	2020-03-22 05:14:21	Whish	JATENG 🏞️	False	0	0	it	flavia marzano sgi aderisce alla campagna per una maggiore trasparenza sul covid …	2
27647	27647	1241594133300547584	2020-03-22 05:14:43	Comisso Alan		False	0	0	it	covid trinitapoli salgono 101 positivi manifestazione interesse per ’affidamento del servizio covid…	2
27824	27824	1241594245535993856	2020-03-22 05:15:10	BillowsBudget Productions	Hitchin, England	False	0	0	it	sicuramente sono pazienti fragili covid porta ecce…	2
27995	27995	1241594356219482113	2020-03-22 05:15:36	Simone Pazzaglia		False	0	0	it	top patologo roger hodkinson detto funzionari del governo alberta durante una teleconferenza zoom …	2
28287	28287	1241594577980702720	2020-03-22 05:16:29	🇪🇺 𝒟𝒶𝓇𝒾𝑜𝓈𝓀𝓎 𝒪𝓈𝓀𝓎 🇮🇹	Roma	False	0	0	it	università padova certifica dispositivo sanity system con tecnologia ozono come arma efficace contro cov…	2
28503	28503	1241594713007947777	2020-03-22 05:17:01	Zazoom Social News	Italia	False	0	0	it	dunque per tamponi possono arrivare nelle buste dell immondizia importante che giungano destinazio…	2
28576	28576	1241594762341294081	2020-03-22 05:17:13	biq	Tandil, Argentina	False	0	1	it	covid italia «aspettando plateau» curva dei nuovi casi per data notifica flusso protezione civile sembra …	2
28603	28603	1241594779106004999	2020-03-22 05:17:17	michele marra		False	0	0	it	intanto come stanno medici infermieri personale sanitario	2
28631	28631	1241594796273213440	2020-03-22 05:17:21	michele #nopd #nom5stalle	Tortoreto, Abruzzo	False	0	0	it	’odissea cardarelli ’anziana vittima del covid figlia “mia madre morta dopo ore una barella…	0
28814	28814	1241594921506803713	2020-03-22 05:17:51	informazione sport	Italia	False	0	0	it	risulta quindi che dura più una superficie che una carica pubblica	2
28820	28820	1241594922320478209	2020-03-22 05:17:51	informazione sport	Italia	False	0	0	it	firmato nessuno salva solo per vincere contro covid diritto alle cure deve essere …	2
28821	28821	1241594925776539649	2020-03-22 05:17:52	informazione sport	Italia	False	0	0	it	tante testate stanno occupando noi infermieri dalle indennità incrementare burnout dalla carenza persona…	2
28823	28823	1241594926430814219	2020-03-22 05:17:52	informazione sport	Italia	False	0	0	it	estendere divieto caccia tutta italia peopleforplanet ⁦	2
